ID,Master Gender,Ethnic Master
1,2,1
2,2,1
3,2,3
4,1,2
5,2,2
6,1,3
7,2,1
8,2,3
9,2,3
10,2,2
11,2,1
12,2,2
13,2,2
14,1,3
15,1,3
16,2,1
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,3
23,2,2
24,2,2
25,2,3
26,2,1
27,2,1
28,2,1
29,1,2
30,2,2
31,2,3
32,2,2
33,2,2
34,1,1
35,2,1
36,1,3
37,2,2
38,2,2
39,2,3
40,2,2
41,2,1
42,2,2
43,2,1
44,2,2
45,2,2
46,1,2
47,2,3
48,2,2
49,2,3
50,2,1
51,2,1
52,2,1
53,2,1
54,2,3
55,2,1
56,1,2
57,2,1
58,2,1
59,1,3
60,2,2
61,2,3
62,1,1
63,1,3
64,1,3
65,2,3
66,2,2
67,2,1
68,2,1
69,2,3
70,1,3
71,2,3
72,1,3
73,2,1
74,2,1
75,2,1
76,1,3
77,2,1
78,2,2
79,2,1
80,1,3
81,2,1
82,2,2
83,2,1
84,2,1
85,2,2
